Time_max,Time_min,Time_mean,Time_q1,Time_q2,Time_q3,LatitudeDegrees_max,LatitudeDegrees_min,LatitudeDegrees_mean,LatitudeDegrees_q1,LatitudeDegrees_q2,LatitudeDegrees_q3,LongitudeDegrees_max,LongitudeDegrees_min,LongitudeDegrees_mean,LongitudeDegrees_q1,LongitudeDegrees_q2,LongitudeDegrees_q3,AltitudeMeters_max,AltitudeMeters_min,AltitudeMeters_mean,AltitudeMeters_q1,AltitudeMeters_q2,AltitudeMeters_q3,HeartRatebpm_max,HeartRatebpm_min,HeartRatebpm_mean,HeartRatebpm_q1,HeartRatebpm_q2,HeartRatebpm_q3,Speed_max,Speed_min,Speed_mean,Speed_q1,Speed_q2,Speed_q3,RunCadence_max,RunCadence_min,RunCadence_mean,RunCadence_q1,RunCadence_q2,RunCadence_q3,gps_speed_max,gps_speed_min,gps_speed_mean,gps_speed_q1,gps_speed_q2,gps_speed_q3,gps_acc_max,gps_acc_min,gps_acc_mean,gps_acc_q1,gps_acc_q2,gps_acc_q3,label,fields_num,props_num,#ref
1611760927,1611758097,1611759515.0171773,1611758805.5,1611759516.0,1611760225.25,45.899758,45.876069,45.88770265691736,45.8824255,45.888673,45.891639749999996,6.129858,6.118238,6.12420962534819,6.12286,6.1238535,6.125892,750.8,451.2,581.1579851439183,453.9,571.9,689.7250000000001,NaN,NaN,NaN,NaN,NaN,NaN,5.7,0.0,2.6284122562674095,1.9,2.6,3.4,NaN,NaN,NaN,NaN,NaN,NaN,8.305104105249792e-06,0,2.830177617459111e-06,1.6785498996726688e-06,2.666197177491147e-06,3.842307344263551e-06,5.436765010704049e-06,-3.3139917204444598e-06,1.6243178665484387e-07,-7.241306004068293e-07,1.6091989768405628e-15,1.1413120934892074e-06,run,9,6,#102
1614177684,1614170360,1614174054.7945778,1614172228.5,1614174053.0,1614175870.0,41.738374,41.664289,41.69743863896848,41.6776155,41.695558,41.714053,0.693126,0.556954,0.6155065684372933,0.583871,0.615525,0.6360405,378.0,191.4,250.44747630592903,221.14999999999998,238.1,255.8,NaN,NaN,NaN,NaN,NaN,NaN,15.4,0.0,7.582234957020058,6.4,7.8,8.8,NaN,NaN,NaN,NaN,NaN,NaN,2.854630556745795e-05,0,8.345201300181699e-06,6.1186688437806765e-06,7.988537454717477e-06,9.380225091715618e-06,2.1181478718789574e-05,-1.402539502558328e-05,4.745743233565698e-07,-7.737582613911967e-07,-2.961875502205002e-08,1.486697928768221e-07,bike,9,6,#9
1612522932,1612520444,1612521715.3235433,1612521155.0,1612521683.0,1612522218.0,41.609322,41.585869,41.5982495333965,41.592384,41.59919,41.604175,0.642199,0.614975,0.6274684159166272,0.621987,0.62699,0.6341,209.6,135.8,146.26669824727617,138.4,143.6,148.4,185.0,90.0,168.73282804358124,164.0,169.0,174.0,13.1,0.0,3.5045002368545712,3.4,3.6,3.6,81.0,0.0,76.87825675035528,77.0,77.0,78.0,6.115811637922222e-05,0,3.5567383211226755e-06,3.2688202920330337e-06,3.554187957460774e-06,3.7705808287855878e-06,6.115811637922222e-05,-5.723013952549259e-05,2.7688825614114647e-08,-3.087357660828064e-07,0.0,3.154077708384525e-07,run,9,6,#173
1616566255,1616566195,1616566224.4186046,1616566209.0,1616566224.0,1616566240.0,41.387158,41.386703,41.38697609302326,41.386842,41.387002,41.387103,2.165902,2.164955,2.165453674418605,2.165178,2.16543,2.165756,35.2,34.3,34.77209302325581,34.5,34.8,35.1,NaN,NaN,NaN,NaN,NaN,NaN,4.5,0.0,1.9883720930232558,1.6,2.0,2.2,NaN,NaN,NaN,NaN,NaN,NaN,7.783126888484412e-06,0,2.1841338593700773e-06,1.5790022976056957e-06,1.8972630487948191e-06,2.417845343075255e-06,5.671377134344556e-06,-5.918201361769466e-06,1.0285721952204319e-07,-2.932486752858411e-07,1.9413616424417532e-08,4.817361155312493e-07,walk,9,6,#41
1600581922,1600578284,1600580040.8657851,1600579039.5,1600579807.0,1600580996.5,41.674643,41.64681,41.66137828264463,41.6531825,41.660154,41.669688,0.575997,0.54419,0.5604638234710744,0.553237,0.557327,0.5706534999999999,336.2,208.6,246.5445950413223,222.6,239.4,262.2,193.0,91.0,136.50380165289255,116.0,137.0,158.0,5.0,0.0,3.465619834710744,3.2,3.6,3.8,106.0,0.0,78.23834710743802,79.0,79.0,80.0,2.165594576536017e-05,0,3.476162238455546e-06,3.209158373510966e-06,3.566954010112595e-06,3.895366857364874e-06,2.165594576536017e-05,-2.165594576536017e-05,-3.835755927560806e-10,-3.151738036209331e-07,6.163403324494464e-13,3.3054731967737084e-07,run,9,6,#179
1605429569,1605422595,1605426090.9588468,1605424343.75,1605426090.0,1605427830.25,45.641689,45.619351,45.6292091,45.62390775,45.629372,45.63356425,5.909701,5.898139,5.904299318489065,5.901378750000001,5.9046935000000005,5.9072232499999995,385.6,306.4,349.9722862823062,336.4,352.55,362.0,NaN,NaN,NaN,NaN,NaN,NaN,11.8,0.0,3.578926441351889,2.0,2.9,4.8,NaN,NaN,NaN,NaN,NaN,NaN,5.102759285277817e-05,0,3.7376450855521918e-06,1.7973665283315919e-06,3.1935700966547143e-06,5.206195845543908e-06,4.629106771751352e-05,-2.738053580623964e-05,1.1210748965016629e-07,-6.239979622934243e-07,-1.6441618105357187e-08,6.930806083767291e-07,bike,9,6,#3
1618590018,1618589257,1618589653.841629,1618589462.75,1618589667.5,1618589842.5,41.404308,41.388156,41.39666866063349,41.39181975,41.396319500000004,41.40166775,2.191223,2.166653,2.1784877239819003,2.171597,2.177635,2.18507625,37.6,15.6,29.688235294117646,24.0,32.6,35.0,NaN,NaN,NaN,NaN,NaN,NaN,20.1,0.0,3.659502262443439,0.0,1.85,6.9,NaN,NaN,NaN,NaN,NaN,NaN,6.545865989991807e-05,0,3.960975991789605e-06,2.470371772848173e-07,1.9808221572087533e-06,7.113460648450594e-06,3.1140202819339845e-05,-4.736965131869761e-05,-4.194099665163398e-08,-3.3246143448196187e-07,-2.0849027190566408e-08,2.310186726849086e-07,vehicle,9,6,#53
1599579050,1599574593,1599576734.0261204,1599575550.5,1599576528.0,1599577900.5,41.394477,41.366765,41.384421178718725,41.379230500000006,41.386544,41.3901805,2.197975,2.165627,2.1835919403354414,2.176756,2.186178,2.18953,62.6,0.8,19.65361561726698,9.6,16.4,26.6,192.0,102.0,158.4259004674182,156.0,160.0,164.0,5.4,0.0,2.9547154248006597,2.8,3.1,3.4,80.0,0.0,76.03051965905966,77.0,77.0,78.0,0.00021358235930822199,0,3.1221585649747884e-06,2.612813965681954e-06,3.0536659568532534e-06,3.4404658035374323e-06,0.00021358235930822199,-0.00021358235930822199,1.7341945858922702e-08,-3.397253069645755e-07,-2.4665357426732195e-13,3.1671627887788595e-07,run,9,6,#77
1616517687,1616517255,1616517472.488372,1616517364.75,1616517472.5,1616517580.25,41.384973,41.383245,41.383966544186045,41.383500250000004,41.3836965,41.384569,2.169405,2.166325,2.1675076674418605,2.1668285000000003,2.16752,2.1679185,56.8,32.4,35.855348837209306,34.2,35.6,36.4,125.0,67.0,100.33023255813953,89.0,107.0,112.0,9.2,0.0,1.3327906976744186,1.1,1.3,1.5,NaN,NaN,NaN,NaN,NaN,NaN,9.898143619895997e-06,0,1.3239026134022856e-06,1.1347241098679996e-06,1.3029004632415837e-06,1.5048495771754143e-06,8.380038417503983e-06,-5.551250103258006e-06,-4.840048773878917e-10,-6.093842565743309e-08,-2.349172441453275e-14,6.339572921099267e-08,walk,9,6,#125
1613129686,1613127072,1613128425.6010976,1613127677.5,1613128482.0,1613129074.5,41.60768,41.602074,41.60449560363023,41.604026,41.604422,41.604896,0.647052,0.62731,0.6334905246939637,0.6289325,0.630058,0.6377885,177.0,120.4,147.1210637399747,143.6,146.8,149.2,211.0,65.0,166.80962431405658,160.0,169.0,179.0,6.4,0.0,3.08172224567328,2.4,3.3,3.8,82.0,0.0,72.6787674124103,75.0,77.0,78.0,0.0002237963434314439,0,3.2091983207334886e-06,2.807148951227442e-06,3.340089414799093e-06,3.7795143370370266e-06,0.0002237963434314439,-0.0002200245649431313,2.1406892703414724e-09,-4.050097586067915e-07,0.0,3.8996614160253156e-07,run,9,6,#167
